運番,始発駅,行先駅,谷上,,発,新神,,発,三宮,県庁,大倉,湊川,上沢,長田,新長,板宿,妙法,着,名谷,,,運動,学園,伊川,神南,着,西神,
03,谷上,西神中央,,8:57,5,,9:05,2,9:07,9:09,9:11,9:13,9:14,9:16,9:18,9:20,9:24,4,,9:27,,9:29,9:32,9:34,9:36,2,9:39,
15,新神戸,西神中央,,,,,9:11,3,9:14,9:15,9:17,9:19,9:21,9:22,9:25,9:27,9:30,4,,9:33,,9:36,9:38,9:40,9:42,3,9:45,
09,谷上,西神中央,,9:10,5,,9:18,2,9:21,9:22,9:24,9:26,9:27,9:29,9:31,9:33,9:37,4,,9:40,,9:42,9:44,9:46,9:49,2,9:51,
04,新神戸,名谷,,,,,9:24,1,9:26,9:28,9:30,9:32,9:33,9:35,9:37,9:39,9:43,4,,9:45,入庫,,,,,,,
26,新神戸,西神中央,,,,,9:28,3,9:30,9:32,9:34,9:35,9:37,9:39,9:41,9:43,9:47,4,,9:50,,9:52,9:54,9:56,9:59,2,10:01,
07,谷上,西神中央,,9:26,5,,9:34,2,9:36,9:38,9:40,9:42,9:43,9:45,9:47,9:49,9:53,4,,9:56,,9:58,10:01,10:03,10:05,3,10:08,
10,新神戸,西神中央,,,,,9:42,3,9:44,9:46,9:48,9:50,9:51,9:53,9:55,9:57,10:01,4,,10:04,,10:06,10:09,10:11,10:13,2,10:16,
02,谷上,西神中央,,9:41,5,,9:49,2,9:52,9:53,9:55,9:57,9:59,10:00,10:03,10:05,10:08,4,,10:11,,10:14,10:16,10:18,10:20,3,10:23,
05,新神戸,西神中央,,,,,9:53,3,9:56,9:57,9:59,10:01,10:03,10:04,10:07,10:09,10:12,4,,10:15,,10:18,10:20,10:22,10:24,2,10:27,
08,新神戸,名谷,,,,,9:59,3,10:01,10:03,10:05,10:07,10:08,10:10,10:12,10:15,10:18,4,,10:20,入庫,,,,,,,
12,谷上,西神中央,,9:56,5,,10:05,2,10:07,10:09,10:11,10:12,10:14,10:16,10:18,10:20,10:24,4,,10:27,,10:29,10:31,10:33,10:36,3,10:38,
06,新神戸,西神中央,,,,,10:12,3,10:14,10:16,10:18,10:20,10:21,10:23,10:25,10:27,10:31,4,,10:34,,10:36,10:39,10:41,10:43,2,10:46,
13,谷上,西神中央,,10:11,5,,10:19,2,10:22,10:23,10:25,10:27,10:29,10:30,10:33,10:35,10:38,4,,10:42,,10:44,10:46,10:48,10:51,3,10:53,
03,新神戸,西神中央,,,,,10:27,3,10:29,10:31,10:33,10:35,10:36,10:38,10:40,10:42,10:46,4,,10:49,,10:51,10:54,10:56,10:58,2,11:01,
16,谷上,西神中央,,10:26,5,,10:34,2,10:36,10:38,10:40,10:42,10:43,10:45,10:47,10:49,10:53,4,,10:56,,10:58,11:01,11:03,11:05,3,11:08,
09,新神戸,西神中央,,,,,10:42,3,10:44,10:46,10:48,10:50,10:51,10:53,10:55,10:57,11:01,4,,11:04,,11:06,11:09,11:11,11:13,2,11:16,
15,谷上,西神中央,,10:41,4,,10:49,2,10:51,10:53,10:55,10:57,10:58,11:00,11:02,11:04,11:08,4,,11:11,,11:13,11:16,11:18,11:20,3,11:23,
07,新神戸,西神中央,,,,,10:57,3,10:59,11:01,11:03,11:05,11:06,11:08,11:10,11:12,11:16,4,,11:19,,11:21,11:24,11:26,11:28,2,11:31,
26,谷上,西神中央,,10:56,4,,11:04,2,11:06,11:08,11:10,11:12,11:13,11:15,11:17,11:19,11:23,4,,11:26,,11:28,11:31,11:33,11:35,3,11:38,
02,新神戸,西神中央,,,,,11:12,3,11:14,11:16,11:18,11:20,11:21,11:23,11:25,11:27,11:31,4,,11:34,,11:36,11:39,11:41,11:43,2,11:46,
10,谷上,西神中央,,11:11,4,,11:19,2,11:21,11:23,11:25,11:27,11:28,11:30,11:32,11:34,11:38,4,,11:41,,11:43,11:46,11:48,11:50,3,11:53,
12,新神戸,西神中央,,,,,11:27,3,11:29,11:31,11:33,11:35,11:36,11:38,11:40,11:42,11:46,4,,11:49,,11:51,11:54,11:56,11:58,2,12:01,
05,谷上,西神中央,,11:26,4,,11:34,2,11:36,11:38,11:40,11:42,11:43,11:45,11:47,11:49,11:53,4,,11:56,,11:58,12:01,12:03,12:05,3,12:08,
13,新神戸,西神中央,,,,,11:42,3,11:44,11:46,11:48,11:50,11:51,11:53,11:55,11:57,12:01,4,,12:04,,12:06,12:09,12:11,12:13,2,12:16,
06,谷上,西神中央,,11:41,4,,11:49,2,11:51,11:53,11:55,11:57,11:58,12:00,12:02,12:04,12:08,4,,12:11,,12:13,12:16,12:18,12:20,3,12:23,
16,新神戸,西神中央,,,,,11:57,3,11:59,12:01,12:03,12:05,12:06,12:08,12:10,12:12,12:16,4,,12:19,,12:21,12:24,12:26,12:28,2,12:31,
03,谷上,西神中央,,11:56,4,,12:04,2,12:06,12:08,12:10,12:12,12:13,12:15,12:17,12:19,12:23,4,,12:26,,12:28,12:31,12:33,12:35,3,12:38,
15,新神戸,西神中央,,,,,12:12,3,12:14,12:16,12:18,12:20,12:21,12:23,12:25,12:27,12:31,4,,12:34,,12:36,12:39,12:41,12:43,2,12:46,
09,谷上,西神中央,,12:11,4,,12:19,2,12:21,12:23,12:25,12:27,12:28,12:30,12:32,12:34,12:38,4,,12:41,,12:43,12:46,12:48,12:50,3,12:53,
