運番,始発駅,行先駅,谷上,,発,新神,,発,三宮,県庁,大倉,湊川,上沢,長田,新長,板宿,妙法,着,名谷,,,運動,学園,伊川,神南,着,西神,
16,新神戸,西神中央,,,,,22:25,3,22:27,22:29,22:31,22:32,22:34,22:36,22:38,22:40,22:44,4,,22:47,,22:49,22:51,22:53,22:56,3,22:58,
09,新神戸,西神中央,,,,,22:32,3,22:35,22:36,22:38,22:40,22:42,22:43,22:46,22:48,22:51,4,,22:54,,22:57,22:59,23:01,23:03,2,23:06,
17,谷上,西神中央,,22:32,5,,22:40,2,22:43,22:44,22:46,22:48,22:50,22:51,22:54,22:56,22:59,4,,23:02,,23:05,23:07,23:09,23:11,3,23:14,
15,新神戸,西神中央,,,,,22:50,1,22:53,22:54,22:56,22:58,22:59,23:01,23:04,23:06,23:09,4,,23:12,,23:14,23:17,23:19,23:21,2,23:24,
03,新神戸,西神中央,,,,,23:00,3,23:02,23:04,23:06,23:07,23:09,23:11,23:13,23:15,23:19,4,,23:22,,23:24,23:26,23:28,23:31,2,23:33,
06,谷上,名谷,,22:59,5,,23:07,2,23:10,23:11,23:13,23:15,23:17,23:18,23:21,23:23,23:26,4,,23:29,泊車,,,,,,,
07,新神戸,西神中央,,,,,23:12,3,23:14,23:16,23:18,23:19,23:21,23:23,23:25,23:27,23:31,3,,23:34,,23:36,23:39,23:41,23:43,2,23:46,
26,谷上,西神中央,,23:16,5,,23:24,2,23:26,23:28,23:30,23:32,23:33,23:35,23:37,23:40,23:43,3,,23:46,,23:49,23:51,23:53,23:55,2,23:58,
13,新神戸,西神中央,,,,,23:36,3,23:38,23:40,23:42,23:43,23:45,23:47,23:49,23:51,23:55,3,,23:58,,0:00,0:03,0:05,0:07,2,0:10,
10,谷上,西神中央,,23:37,5,,23:45,2,23:48,23:49,23:51,23:53,23:55,23:56,23:59,0:01,0:04,3,,0:08,,0:10,0:13,0:15,0:17,3,0:20,泊車
05,谷上,西神中央,,23:55,5,,0:03,2,0:05,0:07,0:09,0:11,0:12,0:14,0:16,0:19,0:22,3,,0:25,,0:28,0:30,0:32,0:34,2,0:37,泊車
